종목코드,종목명,Date
207940,삼성바이오로직스,2025-11-24
005750,대림바스,2025-11-24
030000,제일기획,2025-11-24
058730,다스코,2025-11-24
0126Z0,삼성에피스홀딩스,2025-11-24
0120G0,삼양바이오팜,2025-11-24
425420,티에프이,2025-11-25
079940,가비아,2025-11-25
099440,스맥,2025-11-25
297570,알로이스,2025-11-25
154030,아시아종묘,2025-11-25
153710,옵티팜,2025-11-25
308080,바이젠셀,2025-11-26
093320,케이아이엔엑스,2025-11-26
424870,이뮨온시아,2025-11-26
331380,포커스에이아이,2025-11-26
094170,동운아나텍,2025-11-26
102260,동성케미컬,2025-11-26
437730,삼현,2025-11-27
211050,인카금융서비스,2025-11-27
389650,넥스트바이오메디컬,2025-11-27
083500,에프엔에스테크,2025-11-27
353810,이지바이오,2025-11-27
036030,케이티알파,2025-11-27
237690,에스티팜,2025-11-27
005800,신영와코루,2025-11-27
001450,현대해상,2025-11-27
081660,미스토홀딩스,2025-11-27
0015N0,아로마티카,2025-11-27
327260,RF머트리얼즈,2025-11-28
125490,한라캐스트,2025-11-28
098460,고영,2025-11-28
123410,코리아에프티,2025-11-28
063440,SM Life Design,2025-11-28
000760,이화산업,2025-11-28
126600,BGF에코머티리얼즈,2025-11-28
005850,에스엘,2025-11-28
204320,HL만도,2025-11-28
002420,세기상사,2025-11-28
309710,아이티켐,2025-12-01
101170,우림피티에스,2025-12-01
019180,티에이치엔,2025-12-01
200710,에이디테크놀로지,2025-12-01
452430,사피엔반도체,2025-12-01
060280,큐렉소,2025-12-01
290560,신시웨이,2025-12-01
059120,아진엑스텍,2025-12-01
144510,지씨셀,2025-12-01
195940,HK이노엔,2025-12-01
129890,앱코,2025-12-01
001540,안국약품,2025-12-01
003200,일신방직,2025-12-01
079160,CJ CGV,2025-12-01
208350,지란지교시큐리티,2025-12-01
012610,경인양행,2025-12-01
140430,카티스,2025-12-02
084990,헬릭스미스,2025-12-02
126340,비나텍,2025-12-02
474650,링크솔루션,2025-12-02
348210,넥스틴,2025-12-02
085660,차바이오텍,2025-12-02
000850,화천기공,2025-12-02
028670,팬오션,2025-12-02
095570,AJ네트웍스,2025-12-02
250060,모비스,2025-12-02
134380,미원화학,2025-12-02
475960,토모큐브,2025-12-03
200470,에이팩트,2025-12-03
304360,에스바이오메딕스,2025-12-03
388870,파로스아이바이오,2025-12-03
065660,안트로젠,2025-12-03
220260,켐트로스,2025-12-03
082920,비츠로셀,2025-12-03
015750,성우하이텍,2025-12-03
016610,DB증권,2025-12-03
004960,한신공영,2025-12-03
086890,이수앱지스,2025-12-03
092230,KPX홀딩스,2025-12-03
000120,CJ대한통운,2025-12-03
067830,세이브존I&C,2025-12-03
005880,대한해운,2025-12-03
380550,뉴로핏,2025-12-04
054210,이랜텍,2025-12-04
011690,와이투솔루션,2025-12-04
128820,대성산업,2025-12-04
290740,액트로,2025-12-04
017800,현대엘리베이터,2025-12-04
063760,이엘피,2025-12-04
307280,원바이오젠,2025-12-04
099750,이지케어텍,2025-12-04
012330,현대모비스,2025-12-04
001460,BYC,2025-12-04
0009K0,에임드바이오,2025-12-04
290650,엘앤씨바이오,2025-12-05
065710,서호전기,2025-12-05
372320,큐로셀,2025-12-05
067080,대화제약,2025-12-05
041920,메디아나,2025-12-05
021320,KCC건설,2025-12-05
065690,파커스,2025-12-05
255440,야스,2025-12-05
004310,현대약품,2025-12-05
307180,아이엘,2025-12-05
002990,금호건설,2025-12-05
043370,피에이치에이,2025-12-05
066570,LG전자,2025-12-05
317400,자이에스앤디,2025-12-05
219550,디와이디,2025-12-08
317830,에스피시스템스,2025-12-08
036620,감성코퍼레이션,2025-12-08
298830,슈어소프트테크,2025-12-08
064960,SNT모티브,2025-12-08
000270,기아,2025-12-08
015360,INVENI,2025-12-08
028100,동아지질,2025-12-08
002240,고려제강,2025-12-08
247540,에코프로비엠,2025-12-09
457190,이수스페셜티케미컬,2025-12-09
100660,서암기계공업,2025-12-09
041960,코미팜,2025-12-09
002230,피에스텍,2025-12-09
056090,시지메드텍,2025-12-09
001360,삼성제약,2025-12-09
069260,TKG휴켐스,2025-12-09
950250,테라뷰,2025-12-09
121850,코이즈,2025-12-10
138610,나이벡,2025-12-10
002220,한일철강,2025-12-10
001430,세아베스틸지주,2025-12-10
039860,나노엔텍,2025-12-10
212560,네오오토,2025-12-10
238120,얼라인드,2025-12-10
019010,베뉴지,2025-12-10
089470,HDC현대EP,2025-12-10
0015S0,페스카로,2025-12-10
249420,일동제약,2025-12-11
105840,우진,2025-12-11
003380,하림지주,2025-12-11
389030,지니너스,2025-12-11
032190,다우데이타,2025-12-11
208370,셀바스헬스케어,2025-12-11
041830,인바디,2025-12-11
264850,이랜시스,2025-12-11
038500,삼표시멘트,2025-12-11
049430,코메론,2025-12-11
030190,NICE평가정보,2025-12-11
005300,롯데칠성,2025-12-11
261520,이지스,2025-12-11
079950,인베니아,2025-12-12
083650,비에이치아이,2025-12-12
060370,LS마린솔루션,2025-12-12
900260,로스웰,2025-12-12
368770,파이버프로,2025-12-12
048770,TPC,2025-12-12
000050,경방,2025-12-12
036890,진성티이씨,2025-12-12
017000,신원종합개발,2025-12-12
034810,해성산업,2025-12-12
047810,한국항공우주,2025-12-12
003800,에이스침대,2025-12-12
000640,동아쏘시오홀딩스,2025-12-12
464490,쿼드메디슨,2025-12-12
303360,프로티아,2025-12-15
295310,에이치브이엠,2025-12-15
010130,고려아연,2025-12-15
027360,아주IB투자,2025-12-15
031440,신세계푸드,2025-12-15
024880,케이피에프,2025-12-15
009160,SIMPAC,2025-12-15
016800,퍼시스,2025-12-15
217590,티엠씨,2025-12-15
319400,현대무벡스,2025-12-16
191410,육일씨엔에쓰,2025-12-16
306040,에스제이그룹,2025-12-16
033780,KT&G,2025-12-16
001120,LX인터내셔널,2025-12-16
0007C0,아크릴,2025-12-16
196700,웹스,2025-12-17
067290,JW신약,2025-12-17
330350,위더스제약,2025-12-17
105630,한세실업,2025-12-17
017650,대림제지,2025-12-17
010780,아이에스동서,2025-12-17
000220,유유제약,2025-12-17
361570,알비더블유,2025-12-17
478340,나라스페이스테크놀로지,2025-12-17
040350,크레오에스지,2025-12-18
090370,메타랩스,2025-12-18
200780,비씨월드제약,2025-12-18
344860,이노진,2025-12-18
317240,TS트릴리온,2025-12-18
012200,계양전기,2025-12-18
093190,빅솔론,2025-12-18
452260,한화갤러리아,2025-12-18
000390,삼화페인트,2025-12-18
138930,BNK금융지주,2025-12-18
003650,미창석유,2025-12-18
123700,SJM,2025-12-18
476830,알지노믹스,2025-12-18
217330,싸이토젠,2025-12-19
246710,티앤알바이오팹,2025-12-19
417840,저스템,2025-12-19
183490,엔지켐생명과학,2025-12-19
021080,에이티넘인베스트,2025-12-19
194370,제이에스코퍼레이션,2025-12-19
190510,나무가,2025-12-19
440290,HB인베스트먼트,2025-12-19
066700,테라젠이텍스,2025-12-19
023810,인팩,2025-12-19
417010,나노팀,2025-12-22
094820,일진파워,2025-12-22
189300,인텔리안테크,2025-12-22
038290,마크로젠,2025-12-22
037760,쎄니트,2025-12-22
084010,대한제강,2025-12-22
009680,모토닉,2025-12-22
012280,영화금속,2025-12-22
0013V0,삼진식품,2025-12-22
122690,서진오토모티브,2025-12-23
406820,뷰티스킨,2025-12-23
032960,동일기연,2025-12-23
035290,골드앤에스,2025-12-23
143540,영우디에스피,2025-12-23
236200,슈프리마,2025-12-23
139130,iM금융지주,2025-12-23
451760,컨텍,2025-12-23
175330,JB금융지주,2025-12-23
025530,SJM홀딩스,2025-12-23
009240,한샘,2025-12-23
122900,아이마켓코리아,2025-12-23
124500,아이티센글로벌,2025-12-24
274090,켄코아에어로스페이스,2025-12-24
069140,누리플랜,2025-12-24
071670,에이테크솔루션,2025-12-24
066670,디티씨,2025-12-24
009140,경인전자,2025-12-24
491000,리브스메드,2025-12-24
066430,아이로보틱스,2025-12-26
180400,DXVX,2025-12-26
004440,삼일씨엔에스,2025-12-26
003310,대주산업,2025-12-29
232680,라온테크,2025-12-29
352910,오비고,2025-12-29
053700,삼보모터스,2025-12-29
032940,원익,2025-12-30
080220,제주반도체,2025-12-30
217730,강스템바이오텍,2025-12-30
270660,에브리봇,2025-12-30
146060,율촌,2025-12-30
014910,성문전자,2025-12-30
308170,씨티알모빌리티,2025-12-30
347700,스피어,2026-01-02
095610,테스,2026-01-02
099320,쎄트렉아이,2026-01-02
074430,아미노로직스,2026-01-02
365270,큐라클,2026-01-02
033130,디지틀조선,2026-01-02
210980,SK디앤디,2026-01-02
000860,강남제비스코,2026-01-02
138360,협진,2026-01-05
332570,PS일렉트로닉스,2026-01-05
170920,엘티씨,2026-01-05
014190,원익큐브,2026-01-05
464080,에스오에스랩,2026-01-05
131970,두산테스나,2026-01-05
036540,SFA반도체,2026-01-05
380540,옵티코어,2026-01-05
138080,오이솔루션,2026-01-05
230360,에코마케팅,2026-01-05
092070,디엔에프,2026-01-05
042700,한미반도체,2026-01-05
104830,원익머트리얼즈,2026-01-05
232140,와이씨,2026-01-05
321370,센서뷰,2026-01-05
110990,디아이티,2026-01-05
361390,제노코,2026-01-06
024910,경창산업,2026-01-06
006140,피제이전자,2026-01-06
403870,HPSP,2026-01-06
104200,NHN벅스,2026-01-06
211270,AP위성,2026-01-06
025820,이구산업,2026-01-06
000430,대원강업,2026-01-06
210540,디와이파워,2026-01-06
013870,지엠비코리아,2026-01-06
166090,하나머티리얼즈,2026-01-07
419080,엔젯,2026-01-07
357780,솔브레인,2026-01-07
119500,포메탈,2026-01-07
086280,현대글로비스,2026-01-07
118990,모트렉스,2026-01-07
064850,에프앤가이드,2026-01-07
002900,TYM,2026-01-07
474170,루미르,2026-01-08
012860,모베이스전자,2026-01-08
482630,삼양엔씨켐,2026-01-08
399720,가온칩스,2026-01-08
000250,삼천당제약,2026-01-08
036170,에이치엠넥스,2026-01-08
101330,모베이스,2026-01-08
013570,디와이,2026-01-08
354320,알멕,2026-01-09
272210,한화시스템,2026-01-09
012450,한화에어로스페이스,2026-01-09
069540,빛과전자,2026-01-12
217500,러셀,2026-01-12
000720,현대건설,2026-01-12
059270,해성에어로보틱스,2026-01-12
017960,한국카본,2026-01-12
039490,키움증권,2026-01-12
042370,비츠로테크,2026-01-12
267270,HD현대건설기계,2026-01-12
011780,금호석유화학,2026-01-12
023800,인지컨트롤스,2026-01-12
052770,아이톡시,2026-01-13
348340,뉴로메카,2026-01-13
101490,에스앤에스텍,2026-01-13
122350,삼기,2026-01-13
128540,에코캡,2026-01-13
060720,KH바텍,2026-01-13
140670,알에스오토메이션,2026-01-13
229000,젠큐릭스,2026-01-13
198940,한주라이트메탈,2026-01-13
019540,일지테크,2026-01-13
329180,HD현대중공업,2026-01-13
289080,SV인베스트먼트,2026-01-13
115440,우리넷,2026-01-13
024120,KB오토시스,2026-01-13
036570,엔씨소프트,2026-01-13
005490,POSCO홀딩스,2026-01-13
009320,아진전자부품,2026-01-13
000880,한화,2026-01-14
025440,DH오토웨어,2026-01-14
267250,HD현대,2026-01-14
424980,마이크로투나노,2026-01-14
420770,기가비스,2026-01-14
053270,구영테크,2026-01-14
047310,파워로직스,2026-01-14
456040,OCI,2026-01-14
493330,지에프아이,2026-01-14
0004V0,엔비알모션,2026-01-14
365590,하이딥,2026-01-15
056080,유진로봇,2026-01-15
101680,한국정밀기계,2026-01-15
009520,포스코엠텍,2026-01-15
042660,한화오션,2026-01-15
455900,엔젤로보틱스,2026-01-15
053060,세동,2026-01-15
142210,유니트론텍,2026-01-15
092780,DYP,2026-01-15
060850,영림원소프트랩,2026-01-15
265560,영화테크,2026-01-15
187270,신화콘텍,2026-01-15
006280,녹십자,2026-01-15
019440,세아특수강,2026-01-15
001620,케이비아이동국실업,2026-01-15
459510,나우로보틱스,2026-01-16
251630,브이원텍,2026-01-16
079960,동양이엔피,2026-01-16
052690,한전기술,2026-01-16
282880,코윈테크,2026-01-16
457370,한켐,2026-01-16
032830,삼성생명,2026-01-16
200880,서연이화,2026-01-16
298020,효성티앤씨,2026-01-16
054220,비츠로시스,2026-01-16
003550,LG,2026-01-16
010690,화신,2026-01-16
032820,우리기술,2026-01-19
388720,유일로보틱스,2026-01-19
094940,푸른기술,2026-01-19
123750,알톤,2026-01-19
365340,성일하이텍,2026-01-19
066590,우수AMS,2026-01-19
085670,뉴프렉스,2026-01-19
071050,한국금융지주,2026-01-19
023960,에쓰씨엔지니어링,2026-01-19
017670,SK텔레콤,2026-01-19
049180,셀루메드,2026-01-20
076610,해성옵틱스,2026-01-20
034020,두산에너빌리티,2026-01-20
049070,인탑스,2026-01-20
007820,에스엠코어,2026-01-20
216080,제테마,2026-01-20
031980,피에스케이홀딩스,2026-01-20
046940,우원개발,2026-01-20
285490,노바텍,2026-01-20
013310,아진산업,2026-01-20
073490,이노와이어리스,2026-01-20
347890,엠투아이,2026-01-20
047040,대우건설,2026-01-20
219130,타이거일렉,2026-01-21
160190,하이젠알앤엠,2026-01-21
242040,나무기술,2026-01-21
130740,티피씨글로벌,2026-01-21
323350,다원넥스뷰,2026-01-21
147830,제룡산업,2026-01-21
011700,한신기계,2026-01-21
047050,포스코인터내셔널,2026-01-21
002810,삼영무역,2026-01-21
078590,휴림에이텍,2026-01-22
036810,에프에스티,2026-01-22
077360,덕산하이메탈,2026-01-22
101400,엔시트론,2026-01-22
281740,레이크머티리얼즈,2026-01-22
391710,코닉오토메이션,2026-01-22
092870,엑시콘,2026-01-22
147760,피엠티,2026-01-22
178320,서진시스템,2026-01-22
241710,코스메카코리아,2026-01-22
043360,디지아이,2026-01-22
263750,펄어비스,2026-01-22
222080,씨아이에스,2026-01-22
095190,이엠코리아,2026-01-22
011500,한농화성,2026-01-22
067570,엔브이에이치코리아,2026-01-22
009470,삼화전기,2026-01-22
005940,NH투자증권,2026-01-22
013520,화승코퍼레이션,2026-01-22
106240,파인테크닉스,2026-01-23
357580,아모센스,2026-01-23
024850,HLB이노베이션,2026-01-23
222420,쎄노텍,2026-01-23
058650,세아홀딩스,2026-01-23
056190,에스에프에이,2026-01-23
023590,다우기술,2026-01-23
030610,교보증권,2026-01-23
010660,화천기계,2026-01-23
002380,KCC,2026-01-23
016740,두올,2026-01-23
002760,보락,2026-01-23
064760,티씨케이,2026-01-26
234340,헥토파이낸셜,2026-01-26
060250,NHN KCP,2026-01-26
408920,메쎄이상,2026-01-26
432470,케이엔에스,2026-01-26
214180,헥토이노베이션,2026-01-26
019210,와이지-원,2026-01-26
095660,네오위즈,2026-01-26
001080,만호제강,2026-01-26
073560,우리손에프앤지,2026-01-26
120110,코오롱인더,2026-01-26
446540,메가터치,2026-01-26
143160,아이디스,2026-01-26
298050,HS효성첨단소재,2026-01-26
004560,현대비앤지스틸,2026-01-26
067310,하나마이크론,2026-01-27
054920,한컴위드,2026-01-27
166480,코아스템켐온,2026-01-27
079370,제우스,2026-01-27
048410,현대바이오,2026-01-27
389680,유디엠텍,2026-01-27
083550,케이엠,2026-01-27
069080,웹젠,2026-01-27
007330,푸른저축은행,2026-01-27
087260,모바일어플라이언스,2026-01-27
155650,와이엠씨,2026-01-27
095910,에스에너지,2026-01-27
051600,한전KPS,2026-01-27
080580,오킨스전자,2026-01-28
253590,네오셈,2026-01-28
005290,동진쎄미켐,2026-01-28
289930,웨이비스,2026-01-28
038460,바이오스마트,2026-01-28
036830,솔브레인홀딩스,2026-01-28
074600,원익QnC,2026-01-28
032860,더라미,2026-01-28
257370,피엔티엠에스,2026-01-28
224060,더코디,2026-01-28
119830,아이텍,2026-01-28
029460,케이씨,2026-01-28
383310,에코프로에이치엔,2026-01-28
137400,피엔티,2026-01-28
354200,엔젠바이오,2026-01-28
100120,뷰웍스,2026-01-28
028050,삼성E&A,2026-01-28
023410,유진기업,2026-01-28
067990,도이치모터스,2026-01-28
214430,아이쓰리시스템,2026-01-29
183300,코미코,2026-01-29
215600,신라젠,2026-01-29
032500,케이엠더블유,2026-01-29
474610,RF시스템즈,2026-01-29
001720,신영증권,2026-01-29
214150,클래시스,2026-01-29
417200,LS머트리얼즈,2026-01-29
243840,신흥에스이씨,2026-01-29
001510,SK증권,2026-01-29
001040,CJ,2026-01-29
272290,이녹스첨단소재,2026-01-29
140860,파크시스템스,2026-01-29
001200,유진투자증권,2026-01-29
046890,서울반도체,2026-01-29
049550,잉크테크,2026-01-29
067000,조이시티,2026-01-30
373170,엠아이큐브솔루션,2026-01-30
137080,나래나노텍,2026-01-30
445180,퓨릿,2026-01-30
396300,세아메카닉스,2026-01-30
088130,동아엘텍,2026-01-30
059090,미코,2026-01-30
146320,비씨엔씨,2026-01-30
273060,와이즈버즈,2026-01-30
036930,주성엔지니어링,2026-01-30
122640,예스티,2026-01-30
237750,피앤씨테크,2026-01-30
189980,흥국에프엔비,2026-01-30
159010,아스플로,2026-01-30
003470,유안타증권,2026-01-30
012030,DB,2026-01-30
004840,DRB동일,2026-01-30
023530,롯데쇼핑,2026-01-30
006110,삼아알미늄,2026-01-30
001740,SK네트웍스,2026-01-30
024110,기업은행,2026-01-30
020000,한섬,2026-01-30
950200,소마젠,2026-01-30
0001A0,덕양에너젠,2026-01-30
065170,비엘팜텍,2026-02-02
012210,삼미금속,2026-02-02
002020,코오롱,2026-02-02
217820,원익피앤이,2026-02-02
025320,시노펙스,2026-02-02
052900,KX하이텍,2026-02-02
029530,신도리코,2026-02-02
