종목코드,종목명,매출액성장률
030190,NICE평가정보,7
192650,드림텍,7
050890,쏠리드,7
006280,녹십자,7
001040,CJ,6
014820,동원시스템즈,6
002320,한진,6
353200,대덕전자,6
282330,BGF리테일,6
065510,휴비츠,6
286940,롯데이노베이트,6
046890,서울반도체,6
014680,한솔케미칼,6
012750,에스원,6
081660,휠라홀딩스,6
005380,현대차,6
004980,성신양회,6
042000,카페24,6
243840,신흥에스이씨,6
090430,아모레퍼시픽,6
031440,신세계푸드,6
068930,디지털대성,6
029780,삼성카드,6
028670,팬오션,6
339770,교촌에프앤비,5
051500,CJ프레시웨이,5
092130,이크레더블,5
189980,흥국에프엔비,5
100840,SNT에너지,5
357780,솔브레인,5
009420,한올바이오파마,5
099430,바이오플러스,5
011170,롯데케미칼,5
095570,AJ네트웍스,5
035600,KG이니시스,5
214320,이노션,5
041510,에스엠,5
066570,LG전자,5
005500,삼진제약,5
170900,동아에스티,5
043150,바텍,5
000120,CJ대한통운,5
122990,와이솔,5
237690,에스티팜,5
017810,풀무원,5
001060,JW중외제약,4
005850,에스엘,4
003550,LG,4
001680,대상,4
010950,S-Oil,4
453860,에이에스텍,4
005180,빙그레,4
375500,DL이앤씨,4
000080,하이트진로,4
043610,지니뮤직,4
024880,케이피에프,4
069620,대웅제약,4
089600,나스미디어,4
094360,칩스앤미디어,4
098460,고영,4
298050,HS효성첨단소재,4
105630,한세실업,4
053580,웹케시,4
018880,한온시스템,4
294870,HDC현대산업개발,4
015760,한국전력,4
018260,삼성에스디에스,4
207760,미스터블루,4
204320,HL만도,4
039030,이오테크닉스,4
213500,한솔제지,3
010120,LS ELECTRIC,3
004370,농심,3
011070,LG이노텍,3
004170,신세계,3
192440,슈피겐코리아,3
036540,SFA반도체,3
230360,에코마케팅,3
049770,동원F&B,3
122900,아이마켓코리아,3
051600,한전KPS,3
214430,아이쓰리시스템,3
234340,헥토파이낸셜,3
025000,KPX케미칼,3
006040,동원산업,3
011760,현대코퍼레이션,3
270660,에브리봇,3
007070,GS리테일,2
161390,한국타이어앤테크놀로지,2
298540,더네이쳐홀딩스,2
097950,CJ제일제당,2
007210,벽산,2
300720,한일시멘트,2
280360,롯데웰푸드,2
089860,롯데렌탈,2
017670,SK텔레콤,2
035250,강원랜드,2
011210,현대위아,2
083650,비에이치아이,2
025320,시노펙스,2
028260,삼성물산,2
007310,오뚜기,2
298020,효성티앤씨,1
067000,조이시티,1
000880,한화,1
058610,에스피지,1
005610,SPC삼립,1
053210,스카이라이프,1
114090,GKL,1
051900,LG생활건강,1
030200,KT,1
130580,나이스디앤비,1
139480,이마트,1
006890,태경케미컬,1
263750,펄어비스,1
018670,SK가스,1
023910,대한약품,1
032640,LG유플러스,1
